100 1000
15 62 52
57 99 93
19 96 6
46 51 84
4 60 91
62 74 73
7 86 89
87 70 44
83 92 41
92 97 44
3 36 52
8 6 97
84 61 53
66 9 52
89 22 34
45 12 16
38 18 98
97 46 89
89 75 83
21 79 70
8 27 37
5 4 65
55 53 87
50 18 89
8 88 48
56 76 17
99 92 29
47 44 9
94 58 76
49 70 6
42 85 14
75 36 38
10 13 80
96 18 35
55 81 77
5 18 9
91 80 60
16 66 60
46 55 50
87 95 96
5 7 59
32 46 53
79 76 39
48 42 50
22 17 42
83 32 89
82 94 18
85 54 28
98 57 4
76 47 6
71 60 44
58 42 45
62 80 35
45 12 88
77 0 75
32 19 94
59 55 16
95 45 90
69 24 34
60 46 53
28 81 62
5 51 76
79 40 9
28 12 17
76 40 90
26 30 68
62 5 13
39 89 54
65 68 50
14 83 25
8 48 14
56 57 75
57 16 24
14 8 35
2 22 97
56 83 66
44 36 2
21 25 63
43 21 98
63 74 93
64 5 50
74 98 75
74 24 50
70 78 49
52 98 50
3 48 99
58 43 78
61 50 60
73 51 59
74 6 85
6 82 42
99 34 7
52 18 31
91 17 72
38 42 98
0 3 65
82 58 27
23 39 65
16 34 84
66 87 74
50 12 4
24 74 41
52 24 70
3 75 37
64 53 67
77 63 46
70 78 22
38 68 34
86 82 82
92 45 9
6 70 96
40 54 67
44 5 43
1 35 44
8 51 89
41 17 51
49 81 83
43 45 31
77 97 37
98 69 42
21 15 81
46 79 84
27 32 21
32 85 98
63 49 80
91 43 24
64 3 79
9 81 22
80 6 94
75 74 31
23 10 14
67 45 7
18 56 67
31 84 85
29 11 98
5 72 23
59 84 78
1 13 7
62 33 93
15 76 99
49 61 45
16 24 66
54 54 94
30 90 20
61 0 39
13 70 49
3 91 60
82 19 77
78 60 36
57 98 91
67 53 32
1 38 19
17 45 70
10 60 22
38 94 51
65 90 10
26 17 56
29 90 70
28 98 77
85 90 62
84 53 43
14 17 59
92 88 37
75 31 50
35 41 40
23 73 77
82 26 45
32 97 14
35 85 56
73 82 59
9 44 46
4 32 45
42 0 59
29 99 70
46 93 9
74 88 25
73 80 97
92 89 47
31 93 66
92 61 41
20 87 52
73 61 97
53 65 77
88 52 82
36 55 94
23 44 72
95 71 94
1 67 58
31 13 30
56 15 0
22 57 86
60 53 74
50 62 1
70 83 70
85 59 63
68 11 52
59 54 21
15 90 72
61 90 8
60 62 57
20 55 64
0 53 43
24 19 96
13 89 35
85 96 11
86 40 73
19 28 24
33 20 59
80 49 56
7 70 55
58 20 99
99 68 75
0 17 56
95 30 69
91 48 92
57 37 95
19 78 80
61 26 46
83 33 40
85 19 40
54 77 23
77 1 4
56 86 27
44 12 42
46 36 59
12 4 33
2 30 88
40 84 9
48 51 31
5 48 98
57 40 61
21 71 10
31 12 51
2 92 34
32 90 18
11 19 21
57 37 43
56 71 89
24 97 33
74 5 12
75 29 9
83 88 67
79 14 3
36 25 72
46 42 61
70 69 58
73 68 32
55 54 75
33 59 15
87 38 75
97 34 80
91 2 35
43 18 93
79 28 66
90 42 61
11 22 1
51 73 69
16 33 94
26 15 64
66 51 34
25 29 34
87 33 74
16 82 26
68 18 26
14 88 65
30 7 89
6 4 15
27 52 85
85 92 38
61 92 37
47 21 60
88 24 98
44 15 93
60 45 52
77 10 18
51 0 47
60 0 95
39 44 24
99 53 20
29 22 73
87 8 91
31 9 77
35 6 37
46 61 90
44 93 70
30 17 57
52 85 89
21 31 16
37 82 96
81 67 67
92 99 69
11 74 29
59 40 3
50 72 42
12 74 22
59 37 27
75 81 52
93 4 28
39 28 99
7 78 94
41 24 44
73 96 15
14 23 54
17 29 18
64 98 10
72 41 52
20 47 29
10 49 98
69 53 57
79 17 92
65 71 46
83 99 9
37 76 55
44 77 38
82 88 68
13 92 70
1 14 50
51 75 9
43 94 91
12 10 54
88 33 12
92 83 73
12 95 12
34 19 35
44 44 91
24 30 92
34 10 15
64 58 35
9 34 49
34 97 4
4 31 14
76 75 39
89 13 85
61 93 41
3 54 34
72 22 61
13 80 70
76 80 83
98 41 70
38 80 65
36 3 72
22 50 21
31 89 35
40 86 21
48 80 67
26 93 29
75 63 12
17 97 98
99 95 71
41 62 55
3 48 7
86 87 87
88 56 26
35 29 93
44 42 11
53 12 13
24 60 40
83 31 96
49 6 99
70 19 0
21 23 90
8 75 82
29 35 28
8 23 75
60 8 81
40 47 33
69 0 56
69 15 31
4 4 97
16 61 74
4 10 70
82 19 67
5 70 38
50 30 56
79 97 32
17 35 72
34 92 95
6 6 68
82 66 53
93 49 11
62 26 27
11 85 11
5 92 60
46 39 1
10 52 38
78 32 6
3 12 93
61 49 41
14 58 46
66 32 44
8 1 54
37 54 48
47 70 79
65 30 25
9 63 95
38 68 52
75 15 68
73 25 63
69 19 30
56 34 72
90 0 91
30 9 60
73 12 33
41 53 52
48 31 10
95 50 20
77 6 79
39 30 88
79 33 15
90 4 96
92 0 27
82 44 42
40 10 60
71 8 8
23 0 19
87 67 13
96 82 54
18 4 41
53 37 56
46 23 77
44 36 38
70 2 33
17 15 58
76 23 34
55 41 58
81 11 8
41 30 12
56 88 61
14 98 35
25 32 56
96 16 29
19 44 85
33 58 86
25 51 3
93 40 80
44 42 0
1 90 41
46 15 80
53 52 11
35 47 40
76 76 46
61 10 42
57 50 7
93 55 32
99 22 5
25 75 98
23 11 88
95 25 55
21 75 5
87 12 98
38 69 76
17 6 38
41 96 13
6 84 75
93 21 56
57 33 22
45 89 13
33 38 48
88 76 75
95 79 89
18 74 19
10 12 32
15 89 89
22 46 13
57 71 75
26 98 29
7 59 87
94 20 62
77 85 72
22 69 33
33 1 71
72 31 91
67 77 54
23 61 77
37 93 66
14 59 79
16 33 20
99 97 80
17 19 85
47 37 85
73 29 49
23 25 75
85 46 37
63 13 89
21 23 36
83 86 65
69 6 68
83 42 59
44 83 24
35 12 9
68 82 32
16 54 67
95 35 18
4 62 76
67 91 15
69 21 91
49 83 14
56 92 93
89 47 73
68 20 36
26 52 18
31 53 8
2 31 91
28 58 32
31 50 93
67 84 21
67 88 94
56 75 24
79 15 43
27 33 85
99 62 43
53 41 6
6 58 26
1 11 59
48 88 22
30 51 52
21 55 44
85 40 50
7 40 84
97 52 20
67 3 39
58 14 62
21 90 22
18 6 43
85 44 77
33 45 74
53 86 54
63 92 56
65 0 66
9 71 29
97 26 18
82 89 64
12 11 0
83 8 31
24 46 67
13 42 6
8 35 44
89 20 10
8 79 10
85 47 38
95 35 48
67 96 98
95 60 59
45 13 58
15 75 60
20 85 92
87 35 67
31 97 99
27 98 7
48 98 36
20 99 35
54 95 68
44 46 73
52 43 59
76 37 76
22 69 81
2 88 93
37 14 33
39 29 39
85 22 67
55 22 1
6 49 80
56 42 99
27 6 76
36 86 65
73 20 15
81 29 23
42 21 11
3 25 36
91 26 97
91 7 98
20 17 74
47 48 63
31 96 93
74 24 92
33 11 70
99 13 96
10 12 50
13 29 11
18 26 70
84 42 49
81 17 94
64 23 82
90 80 34
97 65 74
53 18 21
84 20 99
57 23 3
6 82 71
59 90 30
91 80 29
99 14 25
17 50 57
6 25 37
70 85 3
2 54 83
85 20 36
41 18 2
7 51 81
21 93 13
43 75 12
92 50 39
11 20 79
9 37 55
64 45 24
83 65 54
98 63 49
92 97 29
86 76 97
24 98 43
70 61 88
3 21 46
80 24 14
60 77 72
82 31 92
47 10 31
29 87 42
85 6 32
67 22 70
55 99 44
2 47 96
62 39 54
99 10 47
96 91 82
95 85 41
76 74 54
9 2 23
22 64 62
76 15 2
72 96 22
98 35 15
71 48 16
9 58 45
87 2 38
76 48 0
66 1 5
54 24 20
68 68 51
36 13 19
21 29 24
82 16 52
13 14 66
37 87 62
33 51 85
75 2 52
61 39 44
99 46 73
80 19 28
32 33 33
36 19 11
18 95 74
97 80 91
82 33 98
4 99 9
92 16 87
4 1 58
93 42 98
82 33 41
35 1 36
96 66 33
54 53 18
54 51 11
78 69 25
16 5 88
36 14 90
65 19 89
76 82 7
78 7 32
12 78 59
94 17 51
51 75 82
52 82 23
95 47 2
83 3 90
64 34 47
46 70 92
75 20 97
31 49 13
26 66 92
32 13 68
5 0 30
33 23 25
53 61 30
66 31 83
12 38 87
46 18 98
57 60 60
15 94 52
53 16 3
34 37 38
97 99 78
85 85 97
44 6 74
60 80 36
67 39 50
86 32 54
60 69 93
15 96 35
21 13 60
96 26 26
49 55 61
6 65 6
17 4 59
28 97 69
75 63 15
80 56 96
58 24 72
53 47 89
88 32 44
11 22 82
29 24 78
14 5 82
18 15 9
58 15 68
24 51 51
43 96 37
80 70 64
91 81 57
87 74 38
14 70 88
33 94 37
70 30 15
59 94 18
38 5 22
22 88 44
33 91 70
40 13 91
16 53 97
86 52 56
88 4 61
95 48 45
48 73 66
21 47 77
7 15 6
58 6 24
0 41 82
31 97 3
97 36 85
96 76 41
73 17 28
92 78 59
56 12 94
95 52 55
88 69 93
76 88 29
24 46 7
77 68 99
74 11 99
48 94 49
98 11 57
6 48 22
1 14 44
42 38 8
84 76 80
43 67 57
71 0 23
29 35 26
18 18 34
99 60 82
83 11 89
24 11 97
19 48 42
24 42 49
86 54 72
74 78 51
75 0 93
63 11 84
55 39 64
7 53 65
69 60 96
2 15 80
3 38 36
86 81 93
